+ cd /jet/home/karlekar/parallelnn
+ ./main
Img No. 0
Training Accuracy: -nan
Img No. 100
Training Accuracy: 0.460000
Img No. 200
Training Accuracy: 0.595000
Img No. 300
Training Accuracy: 0.636667
Img No. 400
Training Accuracy: 0.672500
Img No. 500
Training Accuracy: 0.684000
Img No. 600
Training Accuracy: 0.696667
Img No. 700
Training Accuracy: 0.708571
Img No. 800
Training Accuracy: 0.727500
Img No. 900
Training Accuracy: 0.735556
Img No. 1000
Training Accuracy: 0.750000
Img No. 1100
Training Accuracy: 0.751818
Img No. 1200
Training Accuracy: 0.757500
Img No. 1300
Training Accuracy: 0.761538
Img No. 1400
Training Accuracy: 0.766429
Img No. 1500
Training Accuracy: 0.770667
Img No. 1600
Training Accuracy: 0.777500
Img No. 1700
Training Accuracy: 0.784118
Img No. 1800
Training Accuracy: 0.793889
Img No. 1900
Training Accuracy: 0.798421
Img No. 2000
Training Accuracy: 0.801000
Img No. 2100
Training Accuracy: 0.802381
Img No. 2200
Training Accuracy: 0.809091
Img No. 2300
Training Accuracy: 0.814348
Img No. 2400
Training Accuracy: 0.817917
Img No. 2500
Training Accuracy: 0.819600
Img No. 2600
Training Accuracy: 0.825385
Img No. 2700
Training Accuracy: 0.827407
Img No. 2800
Training Accuracy: 0.829286
Img No. 2900
Training Accuracy: 0.831724
Img No. 3000
Training Accuracy: 0.833333
Img No. 3100
Training Accuracy: 0.834516
Img No. 3200
Training Accuracy: 0.837500
Img No. 3300
Training Accuracy: 0.838788
Img No. 3400
Training Accuracy: 0.840882
Img No. 3500
Training Accuracy: 0.843429
Img No. 3600
Training Accuracy: 0.844722
Img No. 3700
Training Accuracy: 0.845676
Img No. 3800
Training Accuracy: 0.846842
Img No. 3900
Training Accuracy: 0.849231
Img No. 4000
Training Accuracy: 0.850750
Img No. 4100
Training Accuracy: 0.851951
Img No. 4200
Training Accuracy: 0.853095
Img No. 4300
Training Accuracy: 0.853721
Img No. 4400
Training Accuracy: 0.855227
Img No. 4500
Training Accuracy: 0.856889
Img No. 4600
Training Accuracy: 0.858478
Img No. 4700
Training Accuracy: 0.857872
Img No. 4800
Training Accuracy: 0.859375
Img No. 4900
Training Accuracy: 0.860612
Img No. 5000
Training Accuracy: 0.861600
Img No. 5100
Training Accuracy: 0.863137
Img No. 5200
Training Accuracy: 0.863462
Img No. 5300
Training Accuracy: 0.864906
Img No. 5400
Training Accuracy: 0.865370
Img No. 5500
Training Accuracy: 0.867273
Img No. 5600
Training Accuracy: 0.868214
Img No. 5700
Training Accuracy: 0.868246
Img No. 5800
Training Accuracy: 0.868448
Img No. 5900
Training Accuracy: 0.868983
Img No. 6000
Training Accuracy: 0.869667
Img No. 6100
Training Accuracy: 0.871148
Img No. 6200
Training Accuracy: 0.872419
Img No. 6300
Training Accuracy: 0.873492
Img No. 6400
Training Accuracy: 0.875000
Img No. 6500
Training Accuracy: 0.875077
Img No. 6600
Training Accuracy: 0.876061
Img No. 6700
Training Accuracy: 0.877015
Img No. 6800
Training Accuracy: 0.878088
Img No. 6900
Training Accuracy: 0.877826
Img No. 7000
Training Accuracy: 0.877286
Img No. 7100
Training Accuracy: 0.877606
Img No. 7200
Training Accuracy: 0.878056
Img No. 7300
Training Accuracy: 0.877260
Img No. 7400
Training Accuracy: 0.877432
Img No. 7500
Training Accuracy: 0.878400
Img No. 7600
Training Accuracy: 0.879079
Img No. 7700
Training Accuracy: 0.879091
Img No. 7800
Training Accuracy: 0.879103
Img No. 7900
Training Accuracy: 0.879114
Img No. 8000
Training Accuracy: 0.879500
Img No. 8100
Training Accuracy: 0.879877
Img No. 8200
Training Accuracy: 0.879878
Img No. 8300
Training Accuracy: 0.879880
Img No. 8400
Training Accuracy: 0.880714
Img No. 8500
Training Accuracy: 0.881059
Img No. 8600
Training Accuracy: 0.881628
Img No. 8700
Training Accuracy: 0.881609
Img No. 8800
Training Accuracy: 0.881591
Img No. 8900
Training Accuracy: 0.881011
Img No. 9000
Training Accuracy: 0.880889
Img No. 9100
Training Accuracy: 0.881758
Img No. 9200
Training Accuracy: 0.882391
Img No. 9300
Training Accuracy: 0.882473
Img No. 9400
Training Accuracy: 0.882447
Img No. 9500
Training Accuracy: 0.882737
Img No. 9600
Training Accuracy: 0.883333
Img No. 9700
Training Accuracy: 0.884227
Img No. 9800
Training Accuracy: 0.884796
Img No. 9900
Training Accuracy: 0.885253
Successfully saved matrix to hidden
Successfully saved matrix to output
Successfully written to 'testing_net'
